,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,stimulus_duration,block_num,correct_response,condition,choices,correct_trial,ITIParams,attention_check_question,current_key_answer,exp_id,attention_check_percent
152,,html-keyboard-response,152,141999,0.0-3.0-120.0,293.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
153,,html-keyboard-response,153,142328,0.0-3.0-121.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,325.1610992429132,,test,325.1610992429132,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
154,,html-keyboard-response,154,142833,0.0-3.0-122.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
155,,html-keyboard-response,155,144340,0.0-3.0-123.0,280.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
156,,html-keyboard-response,156,145804,0.0-3.0-124.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,1462.13629781041,,test,1462.13629781041,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
157,,html-keyboard-response,157,146307,0.0-3.0-125.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
158,,html-keyboard-response,158,147809,0.0-3.0-126.0,247.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
159,,html-keyboard-response,159,147827,0.0-3.0-127.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,15.234232075459195,,test,15.234232075459195,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
160,,html-keyboard-response,160,148330,0.0-3.0-128.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
161,,html-keyboard-response,161,149835,0.0-3.0-129.0,333.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
162,,html-keyboard-response,162,149947,0.0-3.0-130.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,111.75257253968873,,test,111.75257253968873,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
163,,html-keyboard-response,163,150450,0.0-3.0-131.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
