,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_id,exp_stage,block_num,stimulus_duration,CTI,cue_location,stim_location,condition,correct_response,choices,correct_trial,ITIParams,current_question,current_key_answer,attention_check_percent
357,,html-keyboard-response,357,263956,0.0-3.0-208.0,,"<div class = bigbox><div id=left_box style=""border-width:15px""></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,0.0,500.0,,,,,,,,,,,
358,,html-keyboard-response,358,264508,0.0-3.0-209.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_CTI,550.0,,,test,0.0,550.0,550.0,,,,,,,,,,
359,,html-keyboard-response,359,266014,0.0-3.0-210.0,,"<div class = bigbox><div id=left_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1500.0,,,test,0.0,1000.0,,left,left,valid,",","[',', '.']",0,,,,
360,,html-keyboard-response,360,266061,0.0-3.0-211.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,43.04990748337234,,,test,0.0,43.04990748337234,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
361,,html-keyboard-response,361,266568,0.0-3.0-212.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation,500.0,,,test,,500.0,,,,,,,,,,,
362,,html-keyboard-response,362,267074,0.0-3.0-213.0,,"<div class = bigbox><div id=right_box style=""border-width:15px""></div></div><div class = bigbox><div id=left_box style=""border-width:15px""></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,0.0,500.0,,,,,,,,,,,
363,,html-keyboard-response,363,268081,0.0-3.0-214.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_CTI,1000.0,,,test,0.0,1000.0,1000.0,,,,,,,,,,
364,,html-keyboard-response,364,269585,0.0-3.0-215.0,,"<div class = bigbox><div id=right_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=left_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1500.0,,,test,0.0,1000.0,,both,right,doublecue,.,"[',', '.']",0,,,,
365,,html-keyboard-response,365,269870,0.0-3.0-216.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,282.7848039223558,,,test,0.0,282.7848039223558,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
366,,html-keyboard-response,366,270375,0.0-3.0-217.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation,500.0,,,test,,500.0,,,,,,,,,,,
367,,html-keyboard-response,367,270878,0.0-3.0-218.0,,"<div class = bigbox><div id=left_box style=""border-width:15px""></div></div><div class = bigbox><div id=right_box style=""border-width:15px""></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,0.0,500.0,,,,,,,,,,,
368,,html-keyboard-response,368,270984,0.0-3.0-219.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_CTI,100.0,,,test,0.0,100.0,100.0,,,,,,,,,,
369,,html-keyboard-response,369,272491,0.0-3.0-220.0,,"<div class = bigbox><div id=left_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1500.0,,,test,0.0,1000.0,,both,left,doublecue,",","[',', '.']",0,,,,
370,,html-keyboard-response,370,272550,0.0-3.0-221.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,57.31631430388306,,,test,0.0,57.31631430388306,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
371,,html-keyboard-response,371,273053,0.0-3.0-222.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation,500.0,,,test,,500.0,,,,,,,,,,,
372,,html-keyboard-response,372,273556,0.0-3.0-223.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box style=""border-width:15px""></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,0.0,500.0,,,,,,,,,,,
373,,html-keyboard-response,373,274110,0.0-3.0-224.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_CTI,550.0,,,test,0.0,550.0,550.0,,,,,,,,,,
374,,html-keyboard-response,374,275612,0.0-3.0-225.0,,"<div class = bigbox><div id=left_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1500.0,,,test,0.0,1000.0,,right,left,invalid,",","[',', '.']",0,,,,
