,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,condition,choices,stimulus_duration,correct_spatial_judgement_key,num_block,spatial_location,correct_trial,spatial_sequence,rt_each_spatial_location_response_grid,rt_total_response_grid,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
52,,html-keyboard-response,52,116360,0.0-3.0-37.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,4.0,,,,,,,,,
53,,html-keyboard-response,53,119364,0.0-3.0-38.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
54,,html-keyboard-response,54,120367,0.0-3.0-39.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,4.0,,,,,,,,,
55,,html-keyboard-response,55,125373,0.0-3.0-40.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box response-active""></div><div class=""box""></div><div class=""box""></div></div>",[],test_response,5000.0,,test,0.0,simple,['NO_KEYS'],5000.0,,,,,"[9, 7, 4, 4]",[],0.0,,,,,
56,,html-keyboard-response,56,141748,0.0-3.0-41.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,16369.916635274474,,test,0.0,,,16369.916635274474,,,,,,,,"{'min': 2, 'max': 20, 'mean': 5}",,,,
57,,html-keyboard-response,57,144755,0.0-3.0-42.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
58,,html-keyboard-response,58,145761,0.0-3.0-43.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,5.0,,,,,,,,,
59,,html-keyboard-response,59,148767,0.0-3.0-44.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
60,,html-keyboard-response,60,149772,0.0-3.0-45.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,14.0,,,,,,,,,
61,,html-keyboard-response,61,152773,0.0-3.0-46.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
62,,html-keyboard-response,62,153778,0.0-3.0-47.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,6.0,,,,,,,,,
63,,html-keyboard-response,63,156780,0.0-3.0-48.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
64,,html-keyboard-response,64,157785,0.0-3.0-49.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,11.0,,,,,,,,,
65,,html-keyboard-response,65,162788,0.0-3.0-50.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box response-active""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",[],test_response,5000.0,,test,0.0,simple,['NO_KEYS'],5000.0,,,,,"[5, 14, 6, 11]",[],0.0,,,,,
