,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,response_ends_trial,SS_stimulus,SS_trial_type,SS_duration,SSD,choices,correct_choice,stim,correct_response,currentTrial,condition,stop_acc,correct_trial,ITIParams,go_acc,current_question,current_key_answer,exp_id,attention_check_percent
10,,html-keyboard-response,10,11572,0.0-2.0-7.0,,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div>
  <div class=""prompt_box"">
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">circle: index finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">square: middle finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">Do not respond if a star appears.</p>
  </div>
",,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,
11,,html-keyboard-response,11,11578,0.0-2.0-8.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,1.5342024486167327,,practice,0.0,1.5342024486167327,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
12,,html-keyboard-response,12,12081,0.0-2.0-9.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,
13,,poldracklab-stop-signal,13,13583,0.0-2.0-10.0,371.0,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,.,practice_trial,1500.0,,practice,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,300.0,"[',', '.']",,square,,3.0,stop,0.0,0,,,,,,
14,,html-keyboard-response,14,14086,0.0-2.0-11.0,,"<div class = fb_box><div class = center-text><font size = 20>There was a star</font></div></div>
  <div class=""prompt_box"">
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">circle: index finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">square: middle finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">Do not respond if a star appears.</p>
  </div>
",,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,
15,,html-keyboard-response,15,14245,0.0-2.0-12.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,153.7314391710344,,practice,0.0,153.7314391710344,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
16,,html-keyboard-response,16,14750,0.0-2.0-13.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,
17,,poldracklab-stop-signal,17,16254,0.0-2.0-14.0,521.0,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,",",practice_trial,1500.0,,practice,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,250.0,"[',', '.']",",",circle,",",4.0,go,,1,,1.0,,,,
18,,html-keyboard-response,18,16759,0.0-2.0-15.0,,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div>
  <div class=""prompt_box"">
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">circle: index finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">square: middle finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">Do not respond if a star appears.</p>
  </div>
",,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,
19,,html-keyboard-response,19,17317,0.0-2.0-16.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,553.8778991286883,,practice,0.0,553.8778991286883,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
20,,html-keyboard-response,20,17822,0.0-2.0-17.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,
21,,poldracklab-stop-signal,21,19327,0.0-2.0-18.0,632.0,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,.,practice_trial,1500.0,,practice,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,250.0,"[',', '.']",.,square,.,5.0,go,,1,,1.0,,,,
22,,html-keyboard-response,22,19833,0.0-2.0-19.0,,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div>
  <div class=""prompt_box"">
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">circle: index finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">square: middle finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">Do not respond if a star appears.</p>
  </div>
",,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,
23,,html-keyboard-response,23,19938,0.0-2.0-20.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,102.85174386771052,,practice,0.0,102.85174386771052,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
24,,html-keyboard-response,24,20441,0.0-2.0-21.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,
